nom,latitude,longitude,type,lien
University of Chicago Center in Paris,48.830685,2.381356,batuniv,http://centerinparis.uchicago.edu/
NYU Paris,48.8503,2.346849,batuniv,http://www.nyu.edu/paris.html
École normale supérieure,48.843495,2.344888,batuniv,http://www.ens.fr
Mexi & Co.,48.851132,2.346097,restmex,https://www.timeout.fr/paris/restaurant/mexi-co
Bocamexa,48.840143,2.349862,restmex,http://www.bocamexa.com/
Anahuacalli,48.849901,2.350422,restmex,http://www.anahuacalli.fr/
Chipotle,48.851371,2.34398,restmex,http://www.chipotle.fr/
Shakespeare and Company,48.852589,2.347198,librairie,https://shakespeareandcompany.com/
Album BD,48.851219,2.346255,librairie,https://www.albumbd.com
Librairie Compagnie,48.850115,2.343515,librairie,http://www.librairie-compagnie.fr/
